date	close
2017/07/03	209.00
2017/07/04	207.00
2017/07/05	208.50
2017/07/06	207.50
2017/07/07	206.00
2017/07/10	206.00
2017/07/11	212.00
2017/07/12	210.50
2017/07/13	214.50
2017/07/14	213.00
2017/07/17	213.00
2017/07/18	214.00
2017/07/19	214.50
2017/07/20	215.50
2017/07/21	214.00
2017/07/24	214.50
2017/07/25	214.00
2017/07/26	213.00
2017/07/27	215.50
2017/07/28	213.00
2017/07/31	214.50
2017/08/01	212.00
2017/08/02	216.00
2017/08/03	213.50
2017/08/04	213.00
2017/08/07	216.00
2017/08/08	217.50
2017/08/09	214.50
2017/08/10	214.00
2017/08/11	212.50
2017/08/14	211.00
2017/08/15	214.00
2017/08/16	213.00
2017/08/17	214.00
2017/08/18	212.50
2017/08/21	211.50
2017/08/22	214.50
2017/08/23	215.50
2017/08/24	217.00
2017/08/25	217.50
2017/08/28	216.00
2017/08/29	216.00
2017/08/30	217.50
2017/08/31	216.50
2017/09/01	216.50
2017/09/04	217.50
2017/09/05	218.00
2017/09/06	217.00
2017/09/07	217.00
2017/09/08	218.00
2017/09/11	217.00
2017/09/12	219.00
2017/09/13	218.00
2017/09/14	218.50
2017/09/15	218.50
2017/09/18	219.50
2017/09/19	221.50
2017/09/20	221.50
2017/09/21	221.00
2017/09/22	218.50
2017/09/25	217.00
2017/09/26	214.00
2017/09/27	215.00
2017/09/28	214.00
2017/09/29	216.50
2017/09/30	216.50
2017/10/02	220.50
2017/10/03	222.50
2017/10/05	224.50
2017/10/06	224.50
2017/10/11	233.00
2017/10/12	237.50
2017/10/13	237.50
2017/10/16	238.00
2017/10/17	235.50
2017/10/18	237.50
2017/10/19	239.00
2017/10/20	237.50
2017/10/23	239.00
2017/10/24	238.00
2017/10/25	238.00
2017/10/26	236.00
2017/10/27	239.00
2017/10/30	243.00
2017/10/31	243.00
2017/11/01	242.50
2017/11/02	241.00
2017/11/03	239.00
2017/11/06	239.50
2017/11/07	244.00
2017/11/08	242.50
2017/11/09	241.00
2017/11/10	240.50
2017/11/13	239.50
2017/11/14	240.00
2017/11/15	237.50
2017/11/16	238.00
2017/11/17	241.50
2017/11/20	238.50
2017/11/21	243.00
2017/11/22	242.00
2017/11/23	242.50
2017/11/24	244.00
2017/11/27	237.00
2017/11/28	234.00
2017/11/29	234.50
2017/11/30	226.00
2017/12/01	231.00
2017/12/04	234.00
2017/12/05	229.50
2017/12/06	227.00
2017/12/07	226.50
2017/12/08	227.00
2017/12/11	227.50
2017/12/12	227.50
2017/12/13	227.00
2017/12/14	230.50
2017/12/15	230.00
2017/12/18	227.00
2017/12/19	225.00
2017/12/20	224.50
2017/12/21	225.00
2017/12/22	227.50
